backend,curve,simd,orientation,layout,cache,threads,phase,samples,median_ms,p10_ms,p90_ms,avx_msm_min,avx_msm_max,avx_each_min,avx_each_max
blst,bls12_381,native,swapped,8x2,cold,12,validation,30,0.499236,0.4897428999999999,0.5075580999999999,0,0,0,0
mcl,bls12_381,avx512,normal,1x16,cached,12,acceptance,30,7.4453435,7.419633999999999,7.464931,0,0,0,0
mcl,bls12_381,avx512,normal,1x16,cached,12,combiner,30,19.8942355,19.829099900000003,19.939379900000002,0,0,0,0
mcl,bls12_381,avx512,normal,1x16,cached,12,encryption,30,0.984307,0.9777558,0.9903459,0,0,0,0
mcl,bls12_381,avx512,normal,1x16,cached,12,end_to_end,30,22.9771055,22.9140175,23.0274328,0,0,0,0
mcl,bls12_381,avx512,normal,1x16,cached,12,opening,30,8.448026,8.434612,8.4546423,0,0,0,0
mcl,bls12_381,avx512,normal,1x16,cached,12,precompute,30,4.0035305,3.9669578000000003,4.0259781,0,0,0,0
mcl,bls12_381,avx512,normal,1x16,cached,12,preparation,30,2e-05,2e-05,2e-05,0,0,0,0
mcl,bls12_381,avx512,normal,1x16,cached,12,share_generation,30,1.160424,1.1541319,1.1674853,0,0,0,0
mcl,bls12_381,avx512,normal,1x16,cached,12,validation,30,0.9387545,0.9333099,0.9469299999999999,0,0,0,0
mcl,bls12_381,avx512,normal,1x16,cold,12,acceptance,30,7.430333,7.3772456,7.467238099999999,0,0,0,0
mcl,bls12_381,avx512,normal,1x16,cold,12,combiner,30,125.145851,125.0085594,125.7136995,0,0,0,0
mcl,bls12_381,avx512,normal,1x16,cold,12,encryption,30,0.979591,0.9680217,0.9925302,0,0,0,0
mcl,bls12_381,avx512,normal,1x16,cold,12,end_to_end,30,128.226433,128.0664204,128.7824699,0,0,0,0
mcl,bls12_381,avx512,normal,1x16,cold,12,opening,30,8.4158565,8.3836955,8.4297974,0,0,0,0
mcl,bls12_381,avx512,normal,1x16,cold,12,precompute,30,3.9632345,3.8142027,4.0325497,0,0,0,0
mcl,bls12_381,avx512,normal,1x16,cold,12,preparation,30,105.432995,105.2209654,105.90337720000001,0,0,0,0
mcl,bls12_381,avx512,normal,1x16,cold,12,share_generation,30,1.156679,1.148811,1.1717233,0,0,0,0
mcl,bls12_381,avx512,normal,1x16,cold,12,validation,30,0.932136,0.9235401,0.9408759,0,0,0,0
mcl,bls12_381,avx512,normal,4x4,cached,12,acceptance,30,6.225733,6.1996756,6.2444023,0,0,0,0
mcl,bls12_381,avx512,normal,4x4,cached,12,combiner,30,16.2218005,16.1401978,16.303952499999998,0,0,0,0
mcl,bls12_381,avx512,normal,4x4,cached,12,encryption,30,0.9850085,0.9755677,0.9968947,0,0,0,0
mcl,bls12_381,avx512,normal,4x4,cached,12,end_to_end,30,19.6146155,19.5298154,19.6937393,0,0,0,0
mcl,bls12_381,avx512,normal,4x4,cached,12,opening,30,8.4472645,8.404895900000001,8.4670033,0,0,0,0
mcl,bls12_381,avx512,normal,4x4,cached,12,precompute,30,1.5588215,1.4862355,1.6205984,0,0,0,0
mcl,bls12_381,avx512,normal,4x4,cached,12,preparation,30,2e-05,2e-05,2e-05,0,0,0,0
mcl,bls12_381,avx512,normal,4x4,cached,12,share_generation,30,1.5005665000000001,1.4914237,1.5094032,0,0,0,0
mcl,bls12_381,avx512,normal,4x4,cached,12,validation,30,0.9023000000000001,0.8896620000000001,0.9124694,0,0,0,0
mcl,bls12_381,avx512,normal,4x4,cold,12,acceptance,30,6.177787,6.1567611,6.1965529,0,0,0,0
mcl,bls12_381,avx512,normal,4x4,cold,12,combiner,30,54.964274,54.7989794,55.2824059,0,0,0,0
mcl,bls12_381,avx512,normal,4x4,cold,12,encryption,30,0.9756555,0.9655047,0.9931131999999999,0,0,0,0
mcl,bls12_381,avx512,normal,4x4,cold,12,end_to_end,30,58.355067,58.170223799999995,58.6508224,0,0,0,0
mcl,bls12_381,avx512,normal,4x4,cold,12,opening,30,8.365172000000001,8.3429434,8.383714099999999,0,0,0,0
mcl,bls12_381,avx512,normal,4x4,cold,12,precompute,30,1.5678235,1.5185628,1.6435715,0,0,0,0
mcl,bls12_381,avx512,normal,4x4,cold,12,preparation,30,38.843338,38.712057,39.1650301,0,0,0,0
mcl,bls12_381,avx512,normal,4x4,cold,12,share_generation,30,1.4947185,1.4868767,1.5026191,0,0,0,0
mcl,bls12_381,avx512,normal,4x4,cold,12,validation,30,0.903256,0.885999,0.9158913,0,0,0,0
mcl,bls12_381,avx512,normal,8x2,cached,12,acceptance,30,6.031190499999999,5.986211900000001,6.0675036,0,0,0,0
mcl,bls12_381,avx512,normal,8x2,cached,12,combiner,30,15.689364,15.608426399999999,15.791465500000001,0,0,0,0
mcl,bls12_381,avx512,normal,8x2,cached,12,encryption,30,0.987276,0.9748455,1.0010322,0,0,0,0
mcl,bls12_381,avx512,normal,8x2,cached,12,end_to_end,30,19.300905999999998,19.1808372,19.4136174,0,0,0,0
mcl,bls12_381,avx512,normal,8x2,cached,12,opening,30,8.445237500000001,8.39223,8.4740069,0,0,0,0
mcl,bls12_381,avx512,normal,8x2,cached,12,precompute,30,1.2118895,1.1780266,1.2634054,0,0,0,0
mcl,bls12_381,avx512,normal,8x2,cached,12,preparation,30,2e-05,2e-05,2.1e-05,0,0,0,0
mcl,bls12_381,avx512,normal,8x2,cached,12,share_generation,30,1.7240435,1.7040419,1.7434891000000001,0,0,0,0
mcl,bls12_381,avx512,normal,8x2,cached,12,validation,30,0.8982035,0.8828639,0.9264824,0,0,0,0
mcl,bls12_381,avx512,normal,8x2,cold,12,acceptance,30,5.986518500000001,5.957506700000001,6.0151575,0,0,0,0
mcl,bls12_381,avx512,normal,8x2,cold,12,combiner,30,45.706961,45.5692096,46.228287699999996,0,0,0,0
mcl,bls12_381,avx512,normal,8x2,cold,12,encryption,30,0.9772775,0.9711677,0.9885551,0,0,0,0
mcl,bls12_381,avx512,normal,8x2,cold,12,end_to_end,30,49.310236,49.159425999999996,49.821840099999996,0,0,0,0
mcl,bls12_381,avx512,normal,8x2,cold,12,opening,30,8.342976499999999,8.3179514,8.373806400000001,0,0,0,0
mcl,bls12_381,avx512,normal,8x2,cold,12,precompute,30,1.6881140000000001,1.537561,2.082754,0,0,0,0
mcl,bls12_381,avx512,normal,8x2,cold,12,preparation,30,29.738905,29.663349699999998,29.8319965,0,0,0,0
mcl,bls12_381,avx512,normal,8x2,cold,12,share_generation,30,1.7145350000000001,1.7040819999999999,1.7322140000000001,0,0,0,0
mcl,bls12_381,avx512,normal,8x2,cold,12,validation,30,0.8967565,0.8815658000000001,0.9097923,0,0,0,0
mcl,bls12_381,avx512,swapped,1x16,cached,12,acceptance,30,6.3836495,6.3325869,6.4219665,0,0,0,0
mcl,bls12_381,avx512,swapped,1x16,cached,12,combiner,30,19.803325,19.6189155,19.877678,0,0,0,0
mcl,bls12_381,avx512,swapped,1x16,cached,12,encryption,30,1.0859965,1.0697450000000002,1.1003681,0,0,0,0
mcl,bls12_381,avx512,swapped,1x16,cached,12,end_to_end,30,24.8186805,24.6423062,24.884786,0,0,0,0
mcl,bls12_381,avx512,swapped,1x16,cached,12,opening,30,8.416943,8.374868300000001,8.4573348,0,0,0,0
mcl,bls12_381,avx512,swapped,1x16,cached,12,precompute,30,4.9894145000000005,4.8469939,5.062420299999999,0,0,0,0
mcl,bls12_381,avx512,swapped,1x16,cached,12,preparation,30,2e-05,2e-05,2e-05,0,0,0,0
mcl,bls12_381,avx512,swapped,1x16,cached,12,share_generation,30,2.8690715,2.8569925,2.898648,0,0,0,0
mcl,bls12_381,avx512,swapped,1x16,cached,12,validation,30,1.0467985,1.0321519,1.0558851,0,0,0,0
mcl,bls12_381,avx512,swapped,1x16,cold,12,acceptance,30,6.421462,6.398719300000001,6.4368672,0,0,0,0
mcl,bls12_381,avx512,swapped,1x16,cold,12,combiner,30,59.360228000000006,59.3010657,59.508511399999996,15,15,1,1
mcl,bls12_381,avx512,swapped,1x16,cold,12,encryption,30,1.0908885000000001,1.0840187000000001,1.108979,0,0,0,0
mcl,bls12_381,avx512,swapped,1x16,cold,12,end_to_end,30,64.388656,64.3439331,64.5575606,15,15,1,1
mcl,bls12_381,avx512,swapped,1x16,cold,12,opening,30,8.434818,8.427828600000002,8.4466611,0,0,0,0
mcl,bls12_381,avx512,swapped,1x16,cold,12,precompute,30,5.025259,4.9669727,5.0607172,0,0,0,0
