config,error,total,cache,phase,N,W,q,tau,accepted_weight,samples,mean_ms,median_ms,p10_ms,p90_ms,avx_msm_min,avx_msm_max,avx_each_min,avx_each_max
bls_avx_swapped_split2,1/16,128,cached,decryption_total,419,1580,1060,76,1062,30,221.60988076666666,221.86607750000002,211.0612572,228.2783556,0,0,0,0
bls_avx_swapped_split2,1/16,128,cached,encryption,419,1580,1060,76,1062,30,6.505555066666667,6.507638999999999,6.4778808,6.531879399999999,0,0,0,0
bls_avx_swapped_split2,1/16,128,cached,encryption_per_item,419,1580,1060,76,1062,30,0.050824648958333336,0.050840929687499994,0.05060844375,0.051030307812499995,,,,
bls_avx_swapped_split2,1/16,128,cached,end_to_end,419,1580,1060,76,1062,30,234.21672746666667,234.4285845,223.4893433,240.7006946,0,0,0,0
bls_avx_swapped_split2,1/16,128,cached,opening,419,1580,1060,76,1062,30,98.70728103333335,98.7000645,90.62469460000001,106.8499544,0,0,0,0
bls_avx_swapped_split2,1/16,128,cached,precompute,419,1580,1060,76,1062,30,9.6805757,9.6094025,9.183258200000001,10.288665600000002,0,0,0,0
bls_avx_swapped_split2,1/16,128,cached,predec_per_validator,419,1580,1060,76,1062,30,0.6254065973684211,0.625502769736842,0.6244056697368422,0.6264652013157894,,,,
bls_avx_swapped_split2,1/16,128,cached,preparation,419,1580,1060,76,1062,30,2.2033333333333335e-05,2e-05,2e-05,3e-05,0,0,0,0
bls_avx_swapped_split2,1/16,128,cached,share_generation,419,1580,1060,76,1062,30,47.5309014,47.538210500000005,47.4548309,47.6113553,0,0,0,0
bls_avx_swapped_split2,1/16,128,cached,validate_per_validator,419,1580,1060,76,1062,30,0.8643536359649123,0.9223852565789474,0.7222823907894736,0.9400868657894738,,,,
bls_avx_swapped_split2,1/16,128,cached,validation,419,1580,1060,76,1062,30,6.101094766666667,5.9753620000000005,5.5323307,6.8971655,0,0,0,0
bls_avx_swapped_split2,1/16,128,cold,acceptance,419,1580,1060,76,1062,30,62.482956800000004,61.9259935,55.0153675,70.4310164,0,0,0,0
bls_avx_swapped_split2,1/16,128,cold,combiner,419,1580,1060,76,1062,30,188.9373933,187.42776350000003,177.6598126,201.45675459999998,1,1,0,0
bls_avx_swapped_split2,1/16,128,cold,dec_open,419,1580,1060,76,1062,30,110.7807244,108.594507,100.47926199999999,118.0158121,,,,
bls_avx_swapped_split2,1/16,128,cold,decryption_total,419,1580,1060,76,1062,30,236.46412636666668,235.0171685,225.0150082,249.1437436,1,1,0,0
bls_avx_swapped_split2,1/16,128,cold,encryption,419,1580,1060,76,1062,30,6.5103155,6.510518,6.4845276,6.5333122,0,0,0,0
bls_avx_swapped_split2,1/16,128,cold,encryption_per_item,419,1580,1060,76,1062,30,0.05086183984375,0.050863421875,0.050660371875,0.0510415015625,,,,
bls_avx_swapped_split2,1/16,128,cold,end_to_end,419,1580,1060,76,1062,30,249.1978811,247.7498025,237.0748237,262.348543,1,1,0,0
bls_avx_swapped_split2,1/16,128,cold,opening,419,1580,1060,76,1062,30,101.06972426666667,98.64062799999999,90.65706420000001,107.77398240000001,0,0,0,0
bls_avx_swapped_split2,1/16,128,cold,precompute,419,1580,1060,76,1062,30,9.711000133333332,9.628869,9.1909205,10.356094100000002,0,0,0,0
bls_avx_swapped_split2,1/16,128,cold,predec_per_validator,419,1580,1060,76,1062,30,0.6253508114035088,0.6252125460526317,0.6238103631578947,0.6273204328947368,,,,
bls_avx_swapped_split2,1/16,128,cold,preparation,419,1580,1060,76,1062,30,15.6735672,15.6776665,15.5776915,15.7417293,1,1,0,0
bls_avx_swapped_split2,1/16,128,cold,share_generation,419,1580,1060,76,1062,30,47.52666166666667,47.5161535,47.4095876,47.6763529,0,0,0,0
bls_avx_swapped_split2,1/16,128,cold,validate_per_validator,419,1580,1060,76,1062,30,0.8221441684210526,0.8148157039473685,0.7238864144736843,0.9267239,,,,
bls_avx_swapped_split2,1/16,128,cold,validation,419,1580,1060,76,1062,30,6.223240733333333,6.0422395,5.8686781,6.9329776,0,0,0,0
bls_avx_swapped_split2,1/16,256,cached,acceptance,419,1580,1060,76,1062,30,131.96593336666666,131.50473549999998,130.6744626,132.23452010000003,0,0,0,0
bls_avx_swapped_split2,1/16,256,cached,combiner,419,1580,1060,76,1062,30,358.7235083,355.2296925,341.10918730000003,383.4085299,0,0,0,0
bls_avx_swapped_split2,1/16,256,cached,dec_open,419,1580,1060,76,1062,30,226.75739963333334,224.1295245,209.09521239999998,242.45318280000004,,,,
bls_avx_swapped_split2,1/16,256,cached,decryption_total,419,1580,1060,76,1062,30,453.3439524,449.893424,435.6874722,477.8884277,0,0,0,0
bls_avx_swapped_split2,1/16,256,cached,encryption,419,1580,1060,76,1062,30,12.965822900000001,12.9716475,12.9245145,13.0044478,0,0,0,0
bls_avx_swapped_split2,1/16,256,cached,encryption_per_item,419,1580,1060,76,1062,30,0.050647745703125004,0.050670498046875,0.050486384765625,0.05079862421875,,,,
bls_avx_swapped_split2,1/16,256,cached,end_to_end,419,1580,1060,76,1062,30,478.70424753333333,475.3312655,460.5556377,503.0553815,0,0,0,0
bls_avx_swapped_split2,1/16,256,cached,opening,419,1580,1060,76,1062,30,207.87519346666667,205.366988,189.51546150000001,222.61085260000002,0,0,0,0
bls_avx_swapped_split2,1/16,256,cached,precompute,419,1580,1060,76,1062,30,18.882206166666666,18.668141499999997,18.1946365,19.8912489,0,0,0,0
bls_avx_swapped_split2,1/16,256,cached,predec_per_validator,419,1580,1060,76,1062,30,1.2450047938596491,1.245151092105263,1.2426017315789473,1.2477813289473683,,,,
bls_avx_swapped_split2,1/16,256,cached,preparation,419,1580,1060,76,1062,30,2.1000000000000002e-05,2e-05,2e-05,2.1000000000000016e-05,0,0,0,0
bls_avx_swapped_split2,1/16,256,cached,share_generation,419,1580,1060,76,1062,30,94.62036433333333,94.631483,94.43773159999999,94.831381,0,0,0,0
bls_avx_swapped_split2,1/16,256,cached,validate_per_validator,419,1580,1060,76,1062,30,1.7363938600877193,1.730325467105263,1.7194008236842104,1.7399278960526317,,,,
bls_avx_swapped_split2,1/16,256,cached,validation,419,1580,1060,76,1062,30,12.394295233333333,12.359517,11.3707757,13.4831655,0,0,0,0
bls_avx_swapped_split2,1/16,256,cold,acceptance,419,1580,1060,76,1062,30,131.19838116666668,131.521188,129.93666430000002,132.5195914,0,0,0,0
bls_avx_swapped_split2,1/16,256,cold,combiner,419,1580,1060,76,1062,30,374.2682350333333,370.5418375,355.2685555,393.7729891,1,1,0,0
bls_avx_swapped_split2,1/16,256,cold,dec_open,419,1580,1060,76,1062,30,227.48626466666667,223.623895,208.126472,248.29575680000002,,,,
bls_avx_swapped_split2,1/16,256,cold,decryption_total,419,1580,1060,76,1062,30,469.7079162333333,464.9642185,450.2289117,488.5101442,1,1,0,0
bls_avx_swapped_split2,1/16,256,cold,encryption,419,1580,1060,76,1062,30,12.9602807,12.965229,12.9066086,13.010527300000001,0,0,0,0
bls_avx_swapped_split2,1/16,256,cold,encryption_per_item,419,1580,1060,76,1062,30,0.050626096484375,0.05064542578125,0.05041643984375,0.050822372265625006,,,,
bls_avx_swapped_split2,1/16,256,cold,end_to_end,419,1580,1060,76,1062,30,495.00810206666665,490.284329,476.0148438,516.3696202,1,1,0,0
bls_avx_swapped_split2,1/16,256,cold,opening,419,1580,1060,76,1062,30,208.74603553333333,204.917585,189.17243969999998,230.1144232,0,0,0,0
bls_avx_swapped_split2,1/16,256,cold,precompute,419,1580,1060,76,1062,30,18.740229133333333,18.425618,17.9767001,19.7986435,0,0,0,0
bls_avx_swapped_split2,1/16,256,cold,predec_per_validator,419,1580,1060,76,1062,30,1.2557843679824563,1.2462620197368421,1.2424634776315788,1.2503135065789472,,,,
bls_avx_swapped_split2,1/16,256,cold,preparation,419,1580,1060,76,1062,30,15.583447966666666,15.576232,15.452076,15.6898088,1,1,0,0
