config,error,total,batch,cache,round,sample,phase,ms
blst_original,1/8,16,16,cold,1,5,opening,14.147313999999998
blst_original,1/8,16,16,cold,1,5,combiner,130.666628
blst_original,1/8,16,16,cold,1,5,decryption_total,133.340412
blst_original,1/8,16,16,cold,1,5,end_to_end,134.77862900000002
blst_original,1/8,16,16,cold,1,5,dec_open,22.806585
blst_original,1/8,16,16,cold,1,5,encryption_per_item,0.0681405
blst_original,1/8,16,16,cold,1,5,predec_per_validator,0.04531752542372881
blst_original,1/8,16,16,cold,1,5,validate_per_validator,0.16553445762711866
blst_original,1/8,16,16,cold,1,6,encryption,1.071413
blst_original,1/8,16,16,cold,1,6,validation,0.344584
blst_original,1/8,16,16,cold,1,6,share_generation,2.678151
blst_original,1/8,16,16,cold,1,6,acceptance,9.726378
blst_original,1/8,16,16,cold,1,6,preparation,98.893969
blst_original,1/8,16,16,cold,1,6,precompute,8.629661
blst_original,1/8,16,16,cold,1,6,opening,14.086921
blst_original,1/8,16,16,cold,1,6,combiner,131.337019
blst_original,1/8,16,16,cold,1,6,decryption_total,134.01535
blst_original,1/8,16,16,cold,1,6,end_to_end,135.43141699999998
blst_original,1/8,16,16,cold,1,6,dec_open,22.716582000000002
blst_original,1/8,16,16,cold,1,6,encryption_per_item,0.0669633125
blst_original,1/8,16,16,cold,1,6,predec_per_validator,0.04539238983050848
blst_original,1/8,16,16,cold,1,6,validate_per_validator,0.16485386440677965
blst_original,1/8,16,16,cold,1,7,encryption,1.0779020000000001
blst_original,1/8,16,16,cold,1,7,validation,0.33381900000000003
blst_original,1/8,16,16,cold,1,7,share_generation,2.234891
blst_original,1/8,16,16,cold,1,7,acceptance,9.698159
blst_original,1/8,16,16,cold,1,7,preparation,96.71323199999999
blst_original,1/8,16,16,cold,1,7,precompute,8.633156
blst_original,1/8,16,16,cold,1,7,opening,14.129199
blst_original,1/8,16,16,cold,1,7,combiner,129.173896
blst_original,1/8,16,16,cold,1,7,decryption_total,131.408968
blst_original,1/8,16,16,cold,1,7,end_to_end,132.820769
blst_original,1/8,16,16,cold,1,7,dec_open,22.762355
blst_original,1/8,16,16,cold,1,7,encryption_per_item,0.06736887500000001
blst_original,1/8,16,16,cold,1,7,predec_per_validator,0.03787950847457627
blst_original,1/8,16,16,cold,1,7,validate_per_validator,0.16437557627118646
blst_original,1/8,16,16,cold,1,8,encryption,1.091641
blst_original,1/8,16,16,cold,1,8,validation,0.34213
blst_original,1/8,16,16,cold,1,8,share_generation,2.6802539999999997
blst_original,1/8,16,16,cold,1,8,acceptance,9.761156000000001
blst_original,1/8,16,16,cold,1,8,preparation,95.001239
blst_original,1/8,16,16,cold,1,8,precompute,8.639724999999999
blst_original,1/8,16,16,cold,1,8,opening,14.180309000000001
blst_original,1/8,16,16,cold,1,8,combiner,127.582569
blst_original,1/8,16,16,cold,1,8,decryption_total,130.262883
blst_original,1/8,16,16,cold,1,8,end_to_end,131.696724
blst_original,1/8,16,16,cold,1,8,dec_open,22.820034
blst_original,1/8,16,16,cold,1,8,encryption_per_item,0.0682275625
blst_original,1/8,16,16,cold,1,8,predec_per_validator,0.04542803389830508
blst_original,1/8,16,16,cold,1,8,validate_per_validator,0.16544332203389833
blst_original,1/8,16,16,cold,1,9,encryption,1.093974
blst_original,1/8,16,16,cold,1,9,validation,0.33241699999999996
blst_original,1/8,16,16,cold,1,9,share_generation,2.685631
blst_original,1/8,16,16,cold,1,9,acceptance,9.750261
blst_original,1/8,16,16,cold,1,9,preparation,96.92846800000001
blst_original,1/8,16,16,cold,1,9,precompute,8.650349
blst_original,1/8,16,16,cold,1,9,opening,14.168053
blst_original,1/8,16,16,cold,1,9,combiner,129.497231
blst_original,1/8,16,16,cold,1,9,decryption_total,132.183052
blst_original,1/8,16,16,cold,1,9,end_to_end,133.609513
blst_original,1/8,16,16,cold,1,9,dec_open,22.818402
blst_original,1/8,16,16,cold,1,9,encryption_per_item,0.068373375
blst_original,1/8,16,16,cold,1,9,predec_per_validator,0.04551916949152542
blst_original,1/8,16,16,cold,1,9,validate_per_validator,0.16525866101694917
blst_original,1/8,16,16,cold,1,10,encryption,1.0786229999999999
blst_original,1/8,16,16,cold,1,10,validation,0.346166
blst_original,1/8,16,16,cold,1,10,share_generation,2.6799829999999996
blst_original,1/8,16,16,cold,1,10,acceptance,9.759814
blst_original,1/8,16,16,cold,1,10,preparation,94.66222400000001
blst_original,1/8,16,16,cold,1,10,precompute,8.605737000000001
blst_original,1/8,16,16,cold,1,10,opening,14.163597
blst_original,1/8,16,16,cold,1,10,combiner,127.191572
blst_original,1/8,16,16,cold,1,10,decryption_total,129.871605
blst_original,1/8,16,16,cold,1,10,end_to_end,131.296474
blst_original,1/8,16,16,cold,1,10,dec_open,22.769334
blst_original,1/8,16,16,cold,1,10,encryption_per_item,0.06741393749999999
blst_original,1/8,16,16,cold,1,10,predec_per_validator,0.045423440677966095
blst_original,1/8,16,16,cold,1,10,validate_per_validator,0.16542057627118645
blst_original,1/8,16,16,cold,1,11,encryption,1.075539
blst_original,1/8,16,16,cold,1,11,validation,0.33583099999999994
blst_original,1/8,16,16,cold,1,11,share_generation,2.2367039999999996
blst_original,1/8,16,16,cold,1,11,acceptance,9.769257
blst_original,1/8,16,16,cold,1,11,preparation,93.933783
blst_original,1/8,16,16,cold,1,11,precompute,8.605617
blst_original,1/8,16,16,cold,1,11,opening,14.150499
blst_original,1/8,16,16,cold,1,11,combiner,126.45926599999999
blst_original,1/8,16,16,cold,1,11,decryption_total,128.69601999999998
blst_original,1/8,16,16,cold,1,11,end_to_end,130.10747
blst_original,1/8,16,16,cold,1,11,dec_open,22.756116
blst_original,1/8,16,16,cold,1,11,encryption_per_item,0.0672211875
blst_original,1/8,16,16,cold,1,11,predec_per_validator,0.037910237288135584
blst_original,1/8,16,16,cold,1,11,validate_per_validator,0.16558062711864407
blst_original,1/8,16,16,cold,1,12,encryption,1.095335
blst_original,1/8,16,16,cold,1,12,validation,0.332717
blst_original,1/8,16,16,cold,1,12,share_generation,2.686953
blst_original,1/8,16,16,cold,1,12,acceptance,9.758543
blst_original,1/8,16,16,cold,1,12,preparation,100.503381
blst_original,1/8,16,16,cold,1,12,precompute,8.596535
blst_original,1/8,16,16,cold,1,12,opening,14.133856
blst_original,1/8,16,16,cold,1,12,combiner,132.992425
blst_original,1/8,16,16,cold,1,12,decryption_total,135.67943800000003
