scheme,error,total,round,sample,samples,N,source_N,W,q,t,selected_parties,selected_weight,threads,phase,value,ms,unit,statistic,origin,denominator,source_label,log
beat,1/8,16,1,3,1,234,234,764,512,511,59,515,12,opening,14.135,14.135,ms,single_observation,reported,,weighted PRF opening / unmask,beat_e8_m16_r1_s003.stdout.log
beat,1/8,16,1,3,1,234,234,764,512,511,59,515,12,opening_per_item,0.883,0.883,ms/item,single_observation,reported,16,weighted PRF opening / unmask,beat_e8_m16_r1_s003.stdout.log
beat,1/8,16,1,3,1,234,234,764,512,511,59,515,12,cold_without_validation,84.936,84.936,ms,single_observation,reported,,post-validation cold-committee path,beat_e8_m16_r1_s003.stdout.log
beat,1/8,16,1,3,1,234,234,764,512,511,59,515,12,cached_without_validation,30.378,30.378,ms,single_observation,reported,,post-validation cached-committee path,beat_e8_m16_r1_s003.stdout.log
beat,1/8,16,1,3,1,234,234,764,512,511,59,515,12,cold_with_validation,85.407,85.407,ms,single_observation,reported,,full cold decryption incl client checks,beat_e8_m16_r1_s003.stdout.log
beat,1/8,16,1,3,1,234,234,764,512,511,59,515,12,cached_with_validation,30.849,30.849,ms,single_observation,reported,,full cached decryption incl client checks,beat_e8_m16_r1_s003.stdout.log
beat,1/8,16,1,3,1,234,234,764,512,511,59,515,12,dec_open,22.777,22.777,ms,single_observation,sum_of_rounded_phase_means,,,beat_e8_m16_r1_s003.stdout.log
beat,1/8,16,1,3,1,234,234,764,512,511,59,515,12,dec_total_without_validation,84.93599999999999,84.93599999999999,ms,single_observation,sum_of_rounded_phase_means,,,beat_e8_m16_r1_s003.stdout.log
beat,1/8,16,1,3,1,234,234,764,512,511,59,515,12,dec_cached_without_validation,30.377999999999993,30.377999999999993,ms,single_observation,sum_of_rounded_phase_means,,,beat_e8_m16_r1_s003.stdout.log
beat,1/8,16,1,4,1,234,234,764,512,511,59,515,12,crs_setup,0.55,0.55,ms,single_observation,reported,,powers-of-tau CRS setup,beat_e8_m16_r1_s004.stdout.log
beat,1/8,16,1,4,1,234,234,764,512,511,59,515,12,setup,125.537,125.537,ms,single_observation,reported,,weighted master key generation,beat_e8_m16_r1_s004.stdout.log
beat,1/8,16,1,4,1,234,234,764,512,511,59,515,12,fixed_kernel,6.212,6.212,ms,single_observation,reported,,fixed G2 FFT kernel,beat_e8_m16_r1_s004.stdout.log
beat,1/8,16,1,4,1,234,234,764,512,511,59,515,12,encryption,1.403,1.403,ms,single_observation,reported,,encrypt batch,beat_e8_m16_r1_s004.stdout.log
beat,1/8,16,1,4,1,234,234,764,512,511,59,515,12,encryption_per_item,0.088,0.088,ms/item,single_observation,reported,16,encrypt batch,beat_e8_m16_r1_s004.stdout.log
beat,1/8,16,1,4,1,234,234,764,512,511,59,515,12,validation,0.478,0.478,ms,single_observation,reported,,client proof validation,beat_e8_m16_r1_s004.stdout.log
beat,1/8,16,1,4,1,234,234,764,512,511,59,515,12,validation_per_item,0.03,0.03,ms/item,single_observation,reported,16,client proof validation,beat_e8_m16_r1_s004.stdout.log
beat,1/8,16,1,4,1,234,234,764,512,511,59,515,12,predec_all_validators,3.314,3.314,ms,single_observation,reported,,"partial decryptions, all N parties",beat_e8_m16_r1_s004.stdout.log
beat,1/8,16,1,4,1,234,234,764,512,511,59,515,12,predec_all_validators_per_item,0.014,0.014,ms/item,single_observation,reported,234,"partial decryptions, all N parties",beat_e8_m16_r1_s004.stdout.log
beat,1/8,16,1,4,1,234,234,764,512,511,59,515,12,acceptance,4.335,4.335,ms,single_observation,reported,,all-N server proofs / select V,beat_e8_m16_r1_s004.stdout.log
beat,1/8,16,1,4,1,234,234,764,512,511,59,515,12,preparation,54.586,54.586,ms,single_observation,reported,,committee interpolation / G2 MSMs,beat_e8_m16_r1_s004.stdout.log
beat,1/8,16,1,4,1,234,234,764,512,511,59,515,12,precompute,8.642,8.642,ms,single_observation,reported,,cross-term precompute,beat_e8_m16_r1_s004.stdout.log
beat,1/8,16,1,4,1,234,234,764,512,511,59,515,12,precompute_per_item,0.54,0.54,ms/item,single_observation,reported,16,cross-term precompute,beat_e8_m16_r1_s004.stdout.log
beat,1/8,16,1,4,1,234,234,764,512,511,59,515,12,opening,14.11,14.11,ms,single_observation,reported,,weighted PRF opening / unmask,beat_e8_m16_r1_s004.stdout.log
beat,1/8,16,1,4,1,234,234,764,512,511,59,515,12,opening_per_item,0.882,0.882,ms/item,single_observation,reported,16,weighted PRF opening / unmask,beat_e8_m16_r1_s004.stdout.log
beat,1/8,16,1,4,1,234,234,764,512,511,59,515,12,cold_without_validation,84.987,84.987,ms,single_observation,reported,,post-validation cold-committee path,beat_e8_m16_r1_s004.stdout.log
beat,1/8,16,1,4,1,234,234,764,512,511,59,515,12,cached_without_validation,30.4,30.4,ms,single_observation,reported,,post-validation cached-committee path,beat_e8_m16_r1_s004.stdout.log
beat,1/8,16,1,4,1,234,234,764,512,511,59,515,12,cold_with_validation,85.465,85.465,ms,single_observation,reported,,full cold decryption incl client checks,beat_e8_m16_r1_s004.stdout.log
beat,1/8,16,1,4,1,234,234,764,512,511,59,515,12,cached_with_validation,30.879,30.879,ms,single_observation,reported,,full cached decryption incl client checks,beat_e8_m16_r1_s004.stdout.log
beat,1/8,16,1,4,1,234,234,764,512,511,59,515,12,dec_open,22.752,22.752,ms,single_observation,sum_of_rounded_phase_means,,,beat_e8_m16_r1_s004.stdout.log
beat,1/8,16,1,4,1,234,234,764,512,511,59,515,12,dec_total_without_validation,84.987,84.987,ms,single_observation,sum_of_rounded_phase_means,,,beat_e8_m16_r1_s004.stdout.log
beat,1/8,16,1,4,1,234,234,764,512,511,59,515,12,dec_cached_without_validation,30.400999999999996,30.400999999999996,ms,single_observation,sum_of_rounded_phase_means,,,beat_e8_m16_r1_s004.stdout.log
beat,1/8,16,1,5,1,234,234,764,512,511,59,515,12,crs_setup,0.705,0.705,ms,single_observation,reported,,powers-of-tau CRS setup,beat_e8_m16_r1_s005.stdout.log
beat,1/8,16,1,5,1,234,234,764,512,511,59,515,12,setup,137.659,137.659,ms,single_observation,reported,,weighted master key generation,beat_e8_m16_r1_s005.stdout.log
beat,1/8,16,1,5,1,234,234,764,512,511,59,515,12,fixed_kernel,6.161,6.161,ms,single_observation,reported,,fixed G2 FFT kernel,beat_e8_m16_r1_s005.stdout.log
beat,1/8,16,1,5,1,234,234,764,512,511,59,515,12,encryption,1.404,1.404,ms,single_observation,reported,,encrypt batch,beat_e8_m16_r1_s005.stdout.log
beat,1/8,16,1,5,1,234,234,764,512,511,59,515,12,encryption_per_item,0.088,0.088,ms/item,single_observation,reported,16,encrypt batch,beat_e8_m16_r1_s005.stdout.log
beat,1/8,16,1,5,1,234,234,764,512,511,59,515,12,validation,0.478,0.478,ms,single_observation,reported,,client proof validation,beat_e8_m16_r1_s005.stdout.log
beat,1/8,16,1,5,1,234,234,764,512,511,59,515,12,validation_per_item,0.03,0.03,ms/item,single_observation,reported,16,client proof validation,beat_e8_m16_r1_s005.stdout.log
beat,1/8,16,1,5,1,234,234,764,512,511,59,515,12,predec_all_validators,3.344,3.344,ms,single_observation,reported,,"partial decryptions, all N parties",beat_e8_m16_r1_s005.stdout.log
beat,1/8,16,1,5,1,234,234,764,512,511,59,515,12,predec_all_validators_per_item,0.014,0.014,ms/item,single_observation,reported,234,"partial decryptions, all N parties",beat_e8_m16_r1_s005.stdout.log
