scheme,error,total,round,sample,samples,N,source_N,W,q,t,selected_parties,selected_weight,threads,phase,value,ms,unit,statistic,origin,denominator,source_label,log
wpfe,1/64,16,1,0,15,688,688,6489,4327,4326,79,4333,12,precompute,3.336,3.336,ms,internal_arithmetic_mean,reported,,ciphertext-dependent Cauchy precompute,wpfe_e64_m16_r1.stdout.log
wpfe,1/64,16,1,0,15,688,688,6489,4327,4326,79,4333,12,precompute_per_item,0.208,0.208,ms/item,internal_arithmetic_mean,reported,16,ciphertext-dependent Cauchy precompute,wpfe_e64_m16_r1.stdout.log
wpfe,1/64,16,1,0,15,688,688,6489,4327,4326,79,4333,12,opening,19.485,19.485,ms,internal_arithmetic_mean,reported,,weighted opening / unmask,wpfe_e64_m16_r1.stdout.log
wpfe,1/64,16,1,0,15,688,688,6489,4327,4326,79,4333,12,opening_per_item,1.218,1.218,ms/item,internal_arithmetic_mean,reported,16,weighted opening / unmask,wpfe_e64_m16_r1.stdout.log
wpfe,1/64,16,1,0,15,688,688,6489,4327,4326,79,4333,12,cold_with_validation,545.574,545.574,ms,internal_arithmetic_mean,reported,,full cold-committee path incl checks,wpfe_e64_m16_r1.stdout.log
wpfe,1/64,16,1,0,15,688,688,6489,4327,4326,79,4333,12,cached_with_validation,38.342,38.342,ms,internal_arithmetic_mean,reported,,full cached-committee path incl checks,wpfe_e64_m16_r1.stdout.log
wpfe,1/64,16,1,0,15,688,688,6489,4327,4326,79,4333,12,dec_open,22.820999999999998,22.820999999999998,ms,internal_arithmetic_mean,sum_of_rounded_phase_means,,,wpfe_e64_m16_r1.stdout.log
wpfe,1/64,16,1,0,15,688,688,6489,4327,4326,79,4333,12,dec_total_without_validation,544.7040000000001,544.7040000000001,ms,internal_arithmetic_mean,sum_of_rounded_phase_means,,,wpfe_e64_m16_r1.stdout.log
wpfe,1/64,16,1,0,15,688,688,6489,4327,4326,79,4333,12,dec_cached_without_validation,37.47200000000004,37.47200000000004,ms,internal_arithmetic_mean,sum_of_rounded_phase_means,,,wpfe_e64_m16_r1.stdout.log
wpfe,1/64,16,1,0,1,688,688,6489,4327,4326,79,4333,12,key_core_bytes,19934304,,bytes,single_observation,reported,,core D1/D2/global material,wpfe_e64_m16_r1.stdout.log
wpfe,1/64,16,1,0,1,688,688,6489,4327,4326,79,4333,12,key_verification_bytes,1056768,,bytes,single_observation,reported,,party verification keys,wpfe_e64_m16_r1.stdout.log
wpfe,1/64,16,1,0,1,688,688,6489,4327,4326,79,4333,12,key_decryption_total_bytes,20991072,,bytes,single_observation,reported,,public decryption key,wpfe_e64_m16_r1.stdout.log
wpfe,1/16,32,1,0,1,419,419,1580,1060,1059,76,1062,12,setup,1171.166,1171.166,ms,single_observation,reported,,trusted weighted key generation,wpfe_e16_m32_r1.stdout.log
wpfe,1/16,32,1,0,1,419,419,1580,1060,1059,76,1062,12,encryption,1.658,1.658,ms,single_observation,reported,,encrypt batch,wpfe_e16_m32_r1.stdout.log
wpfe,1/16,32,1,0,1,419,419,1580,1060,1059,76,1062,12,encryption_per_item,0.052,0.052,ms/item,single_observation,reported,32,encrypt batch,wpfe_e16_m32_r1.stdout.log
wpfe,1/16,32,1,0,1,419,419,1580,1060,1059,76,1062,12,fixed_kernel,0.013,0.013,ms,single_observation,reported,,fixed Cauchy FFT kernel,wpfe_e16_m32_r1.stdout.log
